"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
1993-01-01,0.353379310934598,0.266789165524585,0.350941910431083,0.252795547734338,0.274423782140299,0.358049649754513,0.218314075576063,0.386285542857932,0.289477929894878,0.324676291327798,0.422410140032194,0.292393408036806,0.361056011810182,0.380848435241259,0.318820448278855,0.379996254333991,0.352419657400529
1993-02-01,0.357654588142203,0.275052119413692,0.371846009273628,0.280695767277041,0.277067382872104,0.34749147602888,0.220224813156122,0.391423411419691,0.250502210775199,0.292211730604492,0.456238888742697,0.302646564480513,0.339187222368259,0.258615937257339,0.318940107918634,0.393387582269032,0.379760244309051
1993-03-01,0.370123303494833,0.315175553829502,0.388133275435364,0.279536713900445,0.284519211508957,0.460508635179,0.187654774674243,0.416893698787184,0.238367048711509,0.320122373043507,0.524911374909088,0.312010756133903,0.336984985518404,0.411606188307176,0.340011439227646,0.391131501451684,0.324541488538286
1993-04-01,0.339142007344003,0.322118692974303,0.363796745039472,0.334734798787,0.260092310368286,0.413392065951534,0.211617859610277,0.393829039390109,0.307659368702197,0.290048510077338,0.459977696751223,0.292049727327134,0.369032370795119,0.35676916740806,0.326749651164288,0.358226883644463,0.35133074150348
1993-05-01,0.368007512943268,0.271142446303483,0.375114697165232,0.293173035035043,0.272408040548115,0.348633797691038,0.324299428673215,0.399141348535408,0.23908739344317,0.282526648873914,0.429238241335911,0.26041193326206,0.332273577599626,0.347382436035456,0.335085454151515,0.405284640718588,0.416563751098116
1993-06-01,0.36151865683022,0.2818992461608,0.345966521924038,0.246554802564256,0.28036217160642,0.319985483821424,0.244977483527508,0.385811107677376,0.284285023990844,0.322990402246544,0.453292297778637,0.288127911809235,0.319810624767588,0.37472752081554,0.316952315268923,0.382551856273994,0.326440275211151
1993-07-01,0.358952408492244,0.281603642904768,0.341596484940038,0.217096800493819,0.273903989158871,0.338356863498551,0.195763979571791,0.393297066851387,0.309329590623946,0.319433125011399,0.414950290017055,0.297590413596475,0.350025703650359,0.307614559518823,0.315427784585638,0.376827639855905,0.319146678377641
1993-08-01,0.343610068790062,0.275060480950126,0.331973148838813,0.288073670632223,0.253346469279018,0.339057474852834,0.283405076820166,0.381059209201952,0.232246362295407,0.294183904280049,0.398358406512323,0.318431944491126,0.337743795080292,0.343840126542273,0.309370819904315,0.374517189316462,0.353687896342075
1993-09-01,0.360819081124135,0.274745648653123,0.344430399003506,0.222952852379537,0.22733491749649,0.296458124431024,0.169065741221146,0.379620081029411,0.208932332518607,0.28111161577665,0.429570016100739,0.262658125479329,0.339715424993015,0.273128669495325,0.302687832110074,0.377121663682103,0.408287737103973
1993-10-01,0.351089156214685,0.275671552198327,0.378942243147408,0.282546778471034,0.261093975609112,0.334062790920233,0.188681478388852,0.391585748839744,0.207598999581219,0.32006709641701,0.461826414808455,0.361775786766637,0.320270235227425,0.294378386750742,0.328511844729587,0.366334398494941,0.260730229389947
1993-11-01,0.345566674752399,0.272045557802383,0.335980411146197,0.242800709291345,0.256339900037714,0.345838492102096,0.233054854609621,0.375554474146605,0.212061298786354,0.317227836804629,0.429725851723738,0.276325826024941,0.292780657066245,0.28831010220949,0.322053128491918,0.371869071940569,0.333084867067094
1993-12-01,0.349881062986861,0.301864728461903,0.379522356056962,0.398595239798384,0.260837178704504,0.338459787690489,0.189846333799329,0.385301997305003,0.251663088618931,0.298372732631401,0.420755986728466,0.260909500488062,0.271401478161132,0.303445288526573,0.323908719861833,0.377844798576545,0.323520436320733
1994-01-01,0.373007143966983,0.268729458487281,0.355967223843874,0.207197617721875,0.252748506079289,0.351187213023166,0.206030311231218,0.399457539034746,0.262322951946418,0.334169177055161,0.478554677148865,0.348014380125496,0.341417026924537,0.382228762380613,0.332852526340431,0.390282053021067,0.399036035020278
1994-02-01,0.358789738914642,0.299851362577509,0.373658534032517,0.182572539262474,0.310141475098388,0.385979153684057,0.271727756730702,0.404142672548027,0.25828077069296,0.330043342394824,0.458715579991609,0.351108346906014,0.366032372414511,0.368893630399201,0.315945492007197,0.391739114372045,0.503838290494673
1994-03-01,0.370950375061548,0.274932889474619,0.400076821322118,0.251203056375976,0.253742501414106,0.433941802430369,0.219683361046195,0.420439403987578,0.273328442166555,0.297770745999683,0.524365326059781,0.32488732012404,0.335445444595018,0.417906381175083,0.33585102822395,0.4048125527897,0.354348076979662
1994-04-01,0.361246953006579,0.273211251351322,0.371157724782255,0.231557851432478,0.258072138457114,0.366508536385353,0.331707210162371,0.400285257254868,0.222675959244423,0.319105556995686,0.494273818953139,0.373345990679196,0.303964936584149,0.309133970948901,0.309389911429457,0.394032869996062,0.409776389067335
1994-05-01,0.342734792108031,0.245339554088244,0.348996805325183,0.214050773682813,0.254121174035487,0.388451696314642,0.290762635701665,0.391236837702778,0.210735314998596,0.290704920809281,0.446554865550439,0.281043480868425,0.325466500878219,0.385955136013594,0.325395170291548,0.3743653784654,0.295419423829055
1994-06-01,0.348875015097506,0.276227217409989,0.342940294072517,0.265057589963808,0.277592799130924,0.329170710197021,0.249372193097191,0.390831786854267,0.279242962959013,0.326571385854049,0.41306353354194,0.337023455934267,0.31513335693851,0.355283630145335,0.318009066048666,0.37469813241498,0.269211820022288
